Date,Area,Location,Activity,Incident Type,Fatal?,Address
4-Jan-06,Florida,"Round Island Park, Indian River County",Surfing,Unprovoked,Non-fatal,"Round Island Park, Indian River County,Florida,USA"
18-Jan-06,California,"Santa Cruz, Santa Cruz County",Surfing,Unprovoked,Non-fatal,"Santa Cruz, Santa Cruz County,California,USA"
27-Feb-06,Hawaii,"Makena Landing, Maui",Standing,Unprovoked,Non-fatal,"Makena Landing, Maui,Hawaii,USA"
23-Mar-06,Hawaii,"Chun's Reef, Oahu",Surfing,Unprovoked,Non-fatal,"Chun's Reef, Oahu,Hawaii,USA"
3-Apr-06,Florida,"Marco Island, Collier County",Wading,Unprovoked,Non-fatal,"Marco Island, Collier County,Florida,USA"
19-Apr-06,Florida,"Daytona Beach, Volusia County",Standing,Unprovoked,Non-fatal,"Daytona Beach, Volusia County,Florida,USA"
21-Apr-06,Florida,"Sebastian Inlet, Brevard County",Surfing,Unprovoked,Non-fatal,"Sebastian Inlet, Brevard County,Florida,USA"
4-May-06,Florida,"Hutchinson Island, St. Lucie County",Swimming,Unprovoked,Non-fatal,"Hutchinson Island, St. Lucie County,Florida,USA"
29-Aug-16,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
23-Apr-16,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
27-May-06,Hawaii,"North Shore, O'ahu",Surfing,Unprovoked,Non-fatal,"North Shore, O'ahu,Hawaii,USA"
31-May-06,Hawaii,"North Shore, O'ahu",Spearfishing,Unprovoked,Non-fatal,"North Shore, O'ahu,Hawaii,USA"
7-Jun-06,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Playing in the water,Unprovoked,Non-fatal,"Coligny Beach, Hilton Head, Beaufort County,South Carolina,USA"
15-Jun-06,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Non-fatal,"New Smyrna Beach, Volusia County,Florida,USA"
17-Jun-06,California,"Monterey, Monterey County",Scuba diving,Unprovoked,Non-fatal,"Monterey, Monterey County,California,USA"
